Time,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,Sampling rate
1.5313,-7.6036,-8.735,-12.984,-29.447,-11.506,-28.615,-24.302,-26.841,-35.193,-20.795,
1.5391,1.3,0.71898,-3.3457,-15.37,-2.3051,-16.231,-13.288,-18.073,-33.638,-14.171,
1.5469,7.1942,5.1885,0.098369,-9.7496,-1.2935,-6.6498,-5.5219,-9.9553,-21.677,-5.9605,
1.5547,11.206,5.9317,1.6949,-11.752,-3.4638,-13.532,-10.048,-13.107,-23.101,-9.8133,
1.5625,1.1418,4.683,-1.941,-15.896,-6.0228,-14.784,-10.093,-15.106,-25.17,-9.8843,
1.5703,4.2558,2.7828,-0.62716,-13.455,-5.3398,-17.196,-12.452,-18.62,-29.447,-12.896,
1.5781,8.7407,3.8065,0.24783,-10.456,-5.9792,-12.218,-12.298,-15.345,-23.378,-10.57,
1.5859,15.921,11.866,10.214,-4.903,4.7836,-3.5754,-4.3749,-9.4067,-17.748,-5.745,
1.5938,13.796,13.667,10.177,-0.9281,12.475,-8.576,-4.19,-13.667,-23.885,-6.1183,
1.6016,14.56,12.511,12.628,6.5338,10.578,-12.325,-6.4939,-12.606,-22.272,-5.6662,
1.6094,11.589,10.452,10.888,5.9132,9.9266,-12.836,-7.2847,-13.126,-24.337,-5.6315,
1.6172,2.8254,4.57,2.1616,-4.4471,2.9126,-13.471,-9.1363,-17.5,-30.287,-7.6591,
1.625,-7.2094,-3.2631,-6.8484,-12.685,-1.6381,-21.684,-16.855,-21.38,-34.287,-12.987,
1.6328,-11.347,-6.6367,-10.489,-14.708,-5.8709,-22.018,-17.71,-20.586,-32.873,-12.291,
1.6406,-13.16,-14.956,-16.833,-24.047,-12.787,-25.417,-24.104,-25.216,-35.967,-19.06,
1.6484,-5.9677,-8.0297,-11.027,-15.852,-6.9606,-17.913,-17.148,-19.125,-28.748,-10.362,
1.6563,-5.9394,-6.2949,-10.2,-14.488,-6.1615,-15.547,-15.264,-16.019,-25.158,-10.598,
1.6641,-10.229,-3.9604,-13.265,-21.67,-6.9698,-12.429,-9.0634,-11.63,-20.733,-4.6994,
1.6719,-10.489,-2.4519,-14.546,-25.302,-12.464,-3.4829,-3.2754,-7.4018,-14.763,-1.1877,
1.6797,3.6996,4.9002,-2.4348,-14.319,-4.1622,-6.2882,-1.4939,-7.0355,-16.263,1.7384,
1.6875,13.265,12.93,6.4485,-5.1441,7.8114,0.085698,2.2351,-2.2979,-12.332,4.2396,
1.6953,7.5367,8.9143,4.7616,-3.4692,9.1833,-8.7026,-2.056,-5.7325,-14.591,1.4515,
1.7031,2.2484,6.4115,-0.65181,-11.005,3.4419,2.9298,1.179,-1.2533,-8.8996,5.6766,
1.7109,-0.43241,5.2857,-2.6906,-13.642,3.2115,1.5553,1.5372,-2.8159,-8.9864,5.7761,
1.7188,6.2297,12.271,6.5272,-2.2082,13.826,-3.9036,3.7321,-3.1946,-10.37,9.9512,
1.7266,11.042,16.167,8.6898,-4.0571,15.18,-5.2295,2.4427,-3.9833,-15.628,5.2566,
1.7344,22.175,25.276,21.766,11.915,26.607,2.2376,7.9255,0.18194,-12.395,10.902,
1.7422,12.749,19.944,15.102,0.16619,21.157,-4.3935,2.0918,-9.5491,-22.702,2.0722,
1.75,7.7833,15.416,12.36,2.9984,18.886,-14.787,-5.2988,-12.751,-20.224,-4.147,
1.7578,9.7631,11.918,8.4922,3.8841,14.019,-7.3672,-4.847,-10.473,-16.918,-3.159,
1.7656,9.3062,8.2563,4.6595,-2.1671,10.795,-10.116,-4.5814,-10.998,-18.291,-2.0311,
1.7734,4.4121,5.8318,0.67846,-6.1509,8.6678,-9.7775,-1.638,-7.4927,-18.444,2.162,
1.7813,3.4944,7.8561,-0.18901,-5.4283,5.4183,-6.6354,1.4785,-6.8726,-15.717,5.9734,
1.7891,3.377,7.0348,-1.0797,-7.099,5.8592,-1.1393,1.8532,-5.2148,-13.427,5.8941,
1.7969,0.28766,8.2173,-2.2918,-9.0956,3.4393,-3.1289,-0.55707,-7.6532,-16.635,0.75969,
